params,mean_test_score,dataset,model_file_name,pipeline,region,with_distance,model_name
{'PCA__n_components': 0},,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 2},0.21071950575771287,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 4},0.4132646525002873,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 6},0.5930122906058225,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 8},0.5988716284950668,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 10},0.6116594893690249,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 12},0.6148861531034185,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 14},0.6155682660539619,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 16},0.6209525732793574,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 18},0.6284863823563297,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 20},0.6284707474804586,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 22},0.6292428205577085,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 24},0.6297274965175242,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 26},0.6321161950832475,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 28},0.6305306616737776,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 30},0.6299861811616243,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 32},0.631897015423949,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 34},0.6327232729063574,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 36},0.6311724778422534,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
{'PCA__n_components': 38},0.6285226187492272,all_distance_metrics,martin_models/test_5.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,True,RandomForestRegressor()
